epoch,accuracy_test_before,micro_precision_test_before,macro_precision_test_before,micro_recall_test_before,macro_recall_test_before,accuracy_test_after,micro_precision_test_after,macro_precision_test_after,micro_recall_test_after,macro_recall_test_after
0,3.4965034965034967,3.4965034965034967,1.4770472103547805,3.4965034965034967,1.6585107970258708,78.53146853146853,78.53146853146853,59.010438878533314,78.53146853146853,53.90674914312934
1,6.809338521400778,6.809338521400778,2.891244798140007,6.809338521400778,15.54075235109718,83.65758754863813,83.65758754863813,63.932381225907086,83.65758754863813,60.17661029313091
2,23.59098228663446,23.59098228663446,8.969738105108291,23.59098228663446,10.37661664290868,75.1207729468599,75.1207729468599,65.02773210642039,75.1207729468599,55.38616600624062
3,0.4416094210009814,0.4416094210009814,0.2776291540336484,0.4416094210009814,0.21145433743858943,77.82139352306181,77.82139352306181,69.02797704557346,77.82139352306181,69.87359406021287
4,3.0847145488029466,3.0847145488029466,2.098861427381283,3.0847145488029466,1.808663361598683,78.31491712707182,78.31491712707182,62.33623749132228,78.31491712707182,63.29162683864188
5,2.3069207622868606,2.3069207622868606,5.9343141731174,2.3069207622868606,2.792671515505598,76.32898696088265,76.32898696088265,71.15391720941513,76.32898696088265,60.43895167668043
6,9.264705882352942,9.264705882352942,11.209708141577261,9.264705882352942,8.81508321669479,82.27941176470588,82.27941176470588,61.23272207053117,82.27941176470588,65.30371399684903
7,17.326203208556148,17.326203208556148,11.607738346150029,17.326203208556148,11.081977963556911,73.04812834224599,73.04812834224599,65.89867085735715,73.04812834224599,55.142658494291894
8,14.91499227202473,14.91499227202473,9.70559285199499,14.91499227202473,14.00142083669626,78.28438948995363,78.28438948995363,63.69783427485226,78.28438948995363,60.90149786654025
9,7.878315132605304,7.878315132605304,5.022164912666329,7.878315132605304,8.23356527068572,80.18720748829952,80.18720748829952,76.50519851559879,80.18720748829952,67.72664351037314
10,18.975552968568103,18.975552968568103,7.66579017689373,18.975552968568103,12.025676167555007,62.74738067520372,62.74738067520372,49.41387167354917,62.74738067520372,48.54413485686623
11,17.809734513274336,17.809734513274336,9.015418249943274,17.809734513274336,8.489411940183277,93.41814159292035,93.41814159292035,53.49723737302815,93.41814159292035,54.86660326231182
